Expression	Value	Location	Type	
Angle_to_Ctro	0.0	0x1FFF7A40	float	
SystemAttitude	<struct>	0x1FFF79C4	EulerAngleTypedef	
Pitch	9.08100509E+1	0x1FFF79C4	float	
Yaw	5.7877957822E-1	0x1FFF79C8	float	
Roll	2.73853237E-3	0x1FFF79CC	float	
SysPID	<array>	0x1FFF6E58	Dof_PID_t[9]	
temp	<array>	0x1FFF01D4	uint8[64][128]	
S_s	<array>	0x1FFF73F8	xy_t[23]	
WangToNum	41	0x1FFF7A78	int	
cal_n	'\0' (0x00)	0x1FFF7AAA	uint8	
X_Speed	0	0x1FFF7A80	int16	
Y_Speed	0	0x1FFF7A7E	int16	
x_error	0.0	0x1FFF7A70	float	
y_error	0.0	0x1FFF7A74	float	
now_position	<struct>	0x1FFF79E8	xy_t	
SpdAct	Car_straight	0x1FFF7AAC	Spd_Action_E	
DiagonalDis	0.0	0x1FFF7A6C	float	
y_error	0.0	0x1FFF7A74	float	
y_error	0.0	0x1FFF7A74	float	
POS_set_value	0.0	0x1FFF7A64	float	
POS_actual_value	0.0	0x1FFF7A60	float	
sensor_data	<struct>	0x1FFF77B4	sensorDatatypedef	
GYROXdata	9.1658002133E-1	0x1FFF77B4	float	
GYROYdata	-4.70316469E-1	0x1FFF77B8	float	
GYROZdata	9.47120487E-2	0x1FFF77BC	float	
ACCXdata	4.27537188E-2	0x1FFF77C0	float	
ACCYdata	1.90039593E-2	0x1FFF77C4	float	
ACCZdata	-9.9726319311E-1	0x1FFF77C8	float	
MAGXdata	0.0	0x1FFF77CC	float	
MAGYdata	0.0	0x1FFF77D0	float	
MAGZdata	0.0	0x1FFF77D4	float	
GyroOffset	<struct>	0x1FFF79DC	struct <Unnamed 8>	
Xdata	1.4048000333E+1	0x1FFF79DC	float	
Ydata	1.1369000433E+1	0x1FFF79E0	float	
Zdata	3.9049999711	0x1FFF79E4	float	
actual_angle	Error (col 1): Cannot take address. actual_angle			
Angle_to_Ctro	0.0	0x1FFF7A40	float	
